ID,NAME,PARENT,YEAR,TOTAL,INCREASE,MIGRATION,CHANGE
1,LATVIJA,,1990,2668140,3106,-13085,-9979
2,LATVIJA,,1991,2658161,-116,-15045,-15161
3,LATVIJA,,1992,2643000,-3851,-53474,-57325
4,LATVIJA,,1993,2585675,-12438,-32333,-44771
5,LATVIJA,,1994,2540904,-17501,-22823,-40324
6,LATVIJA,,1995,2500580,-17336,-13713,-31049
7,LATVIJA,,1996,2469531,-14538,-10081,-24619
8,LATVIJA,,1997,2444912,-14703,-9420,-24123
9,LATVIJA,,1998,2420789,-15790,-5751,-21541
10,LATVIJA,,1999,2399248,-13448,-4085,-17533
11,LATVIJA,,2000,2381715,-11903,-16428,-28331
12,LATVIJA,,2001,2353384,-13265,-19163,-32428
13,LATVIJA,,2002,2320956,-12371,-9195,-21566
14,LATVIJA,,2003,2299390,-11286,-11584,-22870
15,LATVIJA,,2004,2276520,-11473,-15323,-26796
16,LATVIJA,,2005,2249724,-10898,-10952,-21850
17,LATVIJA,,2006,2227874,-10227,-8807,-19034
18,LATVIJA,,2007,2208840,-9084,-7946,-17030
19,LATVIJA,,2008,2191810,-6609,-22367,-28976
20,LATVIJA,,2009,2162834,-7853,-34477,-42330
21,LATVIJA,,2010,2120504,-10259,-35640,-45899
22,LATVIJA,,2011,2074605,-9715,-20077,-29792
23,LATVIJA,,2012,2044813,-9128,-11860,-20988
24,LATVIJA,,2013,2023825,-8095,-14262,-22357
25,LATVIJA,,2014,2001468,-6720,-8652,-15372
26,LATVIJA,,2015,1986096,-6499,-10640,-17139
27,LATVIJA,,2016,1968957,-6612,-12229,-18841
28,LATVIJA,,2017,1950116,-7929,-7808,-15737
29,LATVIJA,,2018,1934379,-9506,-4905,-14411
30,LATVIJA,,2019,1919968,-7929,-7808,-15737
31,RIGA,LATVIJA,1990,909135,-273,-8407,-8680
32,RIGA,LATVIJA,1991,900455,-1481,-9233,-10714
33,RIGA,LATVIJA,1992,889741,-3101,-22983,-26084
34,RIGA,LATVIJA,1993,863657,-6074,-14031,-20105
35,RIGA,LATVIJA,1994,843552,-7326,-11238,-18564
36,RIGA,LATVIJA,1995,824988,-6908,-7908,-14816
37,RIGA,LATVIJA,1996,810172,-5361,-6864,-12225
38,RIGA,LATVIJA,1997,797947,-5453,-5882,-11335
39,RIGA,LATVIJA,1998,786612,-5511,-5093,-10604
40,RIGA,LATVIJA,1999,776008,-5067,-4560,-9627
41,RIGA,LATVIJA,2000,766381,-4627,-8748,-13375
42,RIGA,LATVIJA,2001,753006,-4713,-9697,-14410
43,RIGA,LATVIJA,2002,738596,-3821,-5557,-9378
44,RIGA,LATVIJA,2003,729218,-3159,-4419,-7578
45,RIGA,LATVIJA,2004,721640,-2982,-6396,-9378
46,RIGA,LATVIJA,2005,712262,-2672,-2973,-5645
47,RIGA,LATVIJA,2006,706617,-2468,-1588,-4056
48,RIGA,LATVIJA,2007,702561,-2051,-3238,-5289
49,RIGA,LATVIJA,2008,697272,-1372,-8457,-9829
50,RIGA,LATVIJA,2009,687443,-1635,-12375,-14010
51,RIGA,LATVIJA,2010,673433,-2303,-11712,-14015
52,RIGA,LATVIJA,2011,659418,-2355,-7210,-9565
53,RIGA,LATVIJA,2012,649853,-2182,-4056,-6238
54,RIGA,LATVIJA,2013,643615,-1972,1725,-247
55,RIGA,LATVIJA,2014,643368,-1472,-889,-2361
56,RIGA,LATVIJA,2015,641007,-1243,-134,-1377
57,RIGA,LATVIJA,2016,639630,-1159,2952,1793
58,RIGA,LATVIJA,2017,641423,-1996,-1456,-3452
59,RIGA,LATVIJA,2018,637971,-2423,-2934,-5357
60,RIGA,LATVIJA,2019,632614,0,0,0
61,PIERIGA,LATVIJA,1990,378728,1059,-1538,-479
62,PIERIGA,LATVIJA,1991,900455,-1481,-9233,-10714
