Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099;2100;;
China;1172445200;1189183522;1204003901;1217129133;1228991932;1239940004;1249981441;1259066974;1267441503;1275406699;1283198970;1290937649;1298646577;1306343911;1314007478;1321623490;1329209094;1336800506;1344415227;1352068091;1359755102;1367480264;1375198619;1382793212;1390110388;1397028553;1397028553;1403500365;1409517397;1415045928;1420062022;1424548266;1428480534;1431849651;1434676116;1436995094;1438835697;1440205376;1441105792;1441555143;1441574218;1441181813;1440391650;1439215347;1437667004;1435760478;1433508888;1430922498;1428012154;1424791461;1421274537;1417472814;1413396936;1409051555;1404434236;1399538493;1394361025;1388909186;1383191989;1377210270;1370963871;1364456723;1357698332;1350704050;1343491986;1336083672;1328500912;1320759080;1312877134;1304885395;1296818439;1288706557;1280567920;1272417590;1264278114;1256172116;1248117944;1240129971;1232215578;1224376041;1216607940;1208908827;1201285224;1193741774;1186271236;1178862711;1171509615;1164212104;1156977361;1149814677;1142736651;1135754217;1128870924;1122090279;1115423052;1108881678;1102475450;1096205865;1090072306;1084078362;1078227261;1072518595;1066947246;1061503776;1056175304;1050946575;1045800902;1040720508;1035686713;1030679993;1025679938;1020665216;
India;870133480;888054875;906021106;924057817;942204249;960482795;978893217;997405318;1015974042;1034539214;1053050912;1071477855;1089807112;1108027848;1126135777;1144118674;1161977719;1179681239;1197146906;1214270132;1230980691;1247236029;1263065852;1278562207;1293859294;1309053980;1324171354;1339180127;1354051854;1368737513;1383197753;1397423009;1411415296;1425158481;1438635367;1451829004;1464726099;1477311590;1489564612;1501462374;1512985207;1524123804;1534869174;1545203584;1555108108;1564570223;1573581733;1582146821;1590281887;1598011486;1605355574;1612319846;1618905536;1625123097;1630983670;1636496308;1641666866;1646498484;1650993654;1655153372;1658978162;1662471555;1665634474;1668461495;1670944584;1673078321;1674862507;1676300456;1677394788;1678149384;1678568111;1678655989;1678416452;1677850625;1676958866;1675744291;1674212113;1672372856;1670242036;1667838579;1665179391;1662275880;1659137008;1655774546;1652200108;1648425091;1644460392;1640316937;1636006071;1631539153;1626927002;1622178968;1617304175;1612312579;1607214022;1602017424;1596732383;1591365736;1585920202;1580396453;1574797201;1569128520;1563399451;1557620765;1551803731;1545958898;1540095658;1534222029;1528344549;1522468414;1516597380;;
USA;252529950;254974819;257454273;260020186;262741566;265658849;268803424;272136551;275542603;278862277;281982778;284852391;287506847;290027624;292539324;295129501;297827356;300595175;303374067;306076362;308641391;311051373;313335423;315536676;317718779;319929162;322179605;324459463;326766748;329093110;331431534;333783196;336149711;338523714;340895345;343255846;345601753;347929541;350230259;352493665;354711670;356879946;358997015;361061610;363073790;365033872;366941644;368797150;370601929;372358216;374068752;375734948;377359928;378950342;380514372;382058853;383587662;385102864;386607164;388102725;389591663;391075734;392557264;394039407;395525554;397018031;398517824;400024253;401535603;403049130;404562225;406073428;407581291;409082951;410575088;412054508;413519380;414967289;416393634;417793142;419161631;420496821;421797950;423064388;424296215;425493571;426656272;427784144;428877622;429937386;430964445;431959556;432924212;433861239;434774094;435665821;436537645;437390893;438228865;439055296;439872947;440683039;441485506;442279321;443063030;443835150;444594339;445339487;446069736;446784432;447483156;;
Somalia;7397347;7455936;7488544;7519811;7583954;7704894;7892389;8137475;8422372;8720231;9011479;9290823;9564167;9836397;10116228;10409925;10718317;11038596;11369276;11707990;12053223;12404725;12763776;13132349;13513125;13908129;14317996;14742523;15181925;15636171;16105174;16589196;17088214;17601387;18127560;18665849;19215918;19777797;20351526;20937235;21535019;22144759;22766243;23399316;24043828;24699613;25366549;26044595;26733772;27434193;28145899;28868760;29602596;30347355;31102953;31869275;32646129;33433209.000000004;34230143;35036488;35851792;36675703;37507879;38347878;39195255;40049539;40910365;41777303;42649847;43527437;44409572;45295820;46185811;47079289;47976033;48875776;49778160;50682757;51589203;52497144;53406176;54315940;55225970;56135826;57044994;57953019;58859452;59763861;60665741;61564563;62459838;63351057;64237810;65119765;65996642.00000001;66868091;67733787;68593231;69445711;70290422;71126692;71954064;72772292;73581259;74380862;75171009;75951530;76722209;77482753;78232788;78971914;;
Rwanda;7235798;7051759;6701851;6299909;6005095;5928078;6115168;6522382;7059813;7593239;8025703;8329406;8536205;8680346;8818438;8991735;9206580;9447402;9708169;9977446;10246842;10516071;10788853;11065151;11345357;11629553;11917508;12208407;12501156;12794412;13087173;13378967;13669913;13960532;14251666;14543965;14837434;15131882;15427633;15725021;16024252;16325334;16628034;16932098;17237133;17542746;17848704;18154671;18459997;18763878;19065658;19364953;19661478;19954727;20244161;20529380;20810047;21086028;21357305;21623956;21886077;22143519;22396185;22644199;22887719;23126854;23361603;23591861;23817492;24038318;24254197;24465018;24670728;24871256;25066552;25256531;25441158;25620276;25793687;25961089;26122284;26277166;26425729;26567983;26704000;26833816;26957428;27074833;27186067;27291208;27390322;27483437;27570589;27651834;27727223;27796802;27860653;27918806;27971301;28018144;28059365;28095030;28125239;28150111;28169757;28184314;28193910;28198648;28198640;28193996;28184816;;
Afghanistan;12249114;12993657;13981231;15095099;16172719;17099541;17822884;18381605;18863999;19403676;20093756;20966463;21979923;23064851;24118979;25070798;25893450;26616792;27294031;28004331;28803167;29708599;30696958;31731688;32758020;33736494;34656032;35530081;36373176;37209007;38054941;38913707;39779095;40649204;41519986;42388400;43254446;44119315;44982317;45842659;46699545;47552324;48400329;49242776;50078786;50907550;51728328;52540360;53342664;54134238;54914122;55681683;56436296;57177142;57903378;58614315;59309352;59988191;60650823;61297440;61928118;62542629;63140612;63721905;64286388;64833869;65364208;65877123.00000001;66372235;66849094;67307303;67746600;68166836;68567901;68949732;69312240;69655300;69978689;70282194;70565547;70828562;71071244;71293579;71495235;71675834;71835187;71973309;72090564;72187611;72265313;72324435;72365474;72388742;72394688;72383708;72356276;72312905;72254237;72180933;72093731;71993320;71880385;71755556;71619483;71472775;71316116;71150213;70975797;70793669;70604652;70409629;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
