ID,NAME,PARENT,YEAR,TOTAL
1,WORLD,,1990,5288137359
2,WORLD,,1991,5375716954
3,WORLD,,1992,5459838024
4,WORLD,,1993,5544808371
5,WORLD,,1994,5628818958
6,WORLD,,1995,5713659163
7,WORLD,,1996,5796553892
8,WORLD,,1997,5879181284
9,WORLD,,1998,5960951251
10,WORLD,,1999,6041479766
11,WORLD,,2000,6121371868
12,WORLD,,2001,6200826289
13,WORLD,,2002,6280008070
14,WORLD,,2003,6359405021
15,WORLD,,2004,6439366735
16,WORLD,,2005,6519872183
17,WORLD,,2006,6601083228
18,WORLD,,2007,6682860600
19,WORLD,,2008,6765986891
20,WORLD,,2009,6849272706
21,WORLD,,2010,6932596129
22,WORLD,,2011,7014792135
23,WORLD,,2012,7099311892
24,WORLD,,2013,7184861447
25,WORLD,,2014,7271057715
26,WORLD,,2015,7383008820
27,WORLD,,2016,7466964280
28,WORLD,,2017,7550262101
29,WORLD,,2018,7632819325
30,WORLD,,2019,7714576923
31,WORLD,,2020,7795482309
32,WORLD,,2021,7875464634
33,WORLD,,2022,7954468982
34,WORLD,,2023,8032487475
35,WORLD,,2024,8109532823
36,WORLD,,2025,8185613757
37,WORLD,,2026,8260710124
38,WORLD,,2027,8334801643
39,WORLD,,2028,8407900352
40,WORLD,,2029,8480027356
41,WORLD,,2030,8551198643
42,WORLD,,2031,8621415775
43,WORLD,,2032,8690673506
44,WORLD,,2033,8758973114
45,WORLD,,2034,8826315616
46,WORLD,,2035,8892701940
47,WORLD,,2036,8958126691
48,WORLD,,2037,9022590075
49,WORLD,,2038,9086103797
50,WORLD,,2039,9148683649
51,WORLD,,2040,9210337004
52,WORLD,,2041,9271063273
53,WORLD,,2042,9330845890
54,WORLD,,2043,9389655929
55,WORLD,,2044,9447454649
56,WORLD,,2045,9504209572
57,WORLD,,2046,9559909195
58,WORLD,,2047,9614545440
59,WORLD,,2048,9668093432
60,WORLD,,2049,9720525979
61,WORLD,,2050,9771822753
62,WORLD,,2051,9821979204
63,WORLD,,2052,9870996143
64,WORLD,,2053,9918868234
65,WORLD,,2054,9965591995
66,WORLD,,2055,10011171422
67,WORLD,,2056,10055609539
68,WORLD,,2057,10098925718
69,WORLD,,2058,10141161411
70,WORLD,,2059,10182370369
71,WORLD,,2060,10222598469
72,WORLD,,2061,10261867905
73,WORLD,,2062,10300193299
74,WORLD,,2063,10337605232
75,WORLD,,2064,10374134682
76,WORLD,,2065,10409808296
77,WORLD,,2066,10444646732
78,WORLD,,2067,10478663350
79,WORLD,,2068,10511866504
80,WORLD,,2069,10544259435
81,WORLD,,2070,10575846551
82,WORLD,,2071,10606640450
83,WORLD,,2072,10636651714
84,WORLD,,2073,10665879012
85,WORLD,,2074,10694316774
86,WORLD,,2075,10721963763
87,WORLD,,2076,10748825986
88,WORLD,,2077,10774916274
89,WORLD,,2078,10800248725
90,WORLD,,2079,10824840805
91,WORLD,,2080,10848708184
92,WORLD,,2081,10871858040
93,WORLD,,2082,10894298619
94,WORLD,,2083,10916049655
95,WORLD,,2084,10937133165
96,WORLD,,2085,10957565804
97,WORLD,,2086,10977355755
98,WORLD,,2087,10996502489
99,WORLD,,2088,11015004824
100,WORLD,,2089,11032857615
101,WORLD,,2090,11050055193
102,WORLD,,2091,11066592635
103,WORLD,,2092,11082465223
104,WORLD,,2093,11097667992
105,WORLD,,2094,11112193711
106,WORLD,,2095,11126032796
107,WORLD,,2096,11139172514
108,WORLD,,2097,11151596850
109,WORLD,,2098,11163286403
110,WORLD,,2099,11174218742
111,WORLD,,2100,11184367721
112,AFRICA,WORLD,1990,634567044
113,AFRICA,WORLD,1991,651763106
114,AFRICA,WORLD,1992,669221342
115,AFRICA,WORLD,1993,686916862
116,AFRICA,WORLD,1994,704820799
117,AFRICA,WORLD,1995,722921961
118,AFRICA,WORLD,1996,741220519
119,AFRICA,WORLD,1997,759752789
120,AFRICA,WORLD,1998,778592236
121,AFRICA,WORLD,1999,797836027
122,AFRICA,WORLD,2000,817566004
123,AFRICA,WORLD,2001,837820928
124,AFRICA,WORLD,2002,858622597
125,AFRICA,WORLD,2003,880016866
126,AFRICA,WORLD,2004,902048601
127,AFRICA,WORLD,2005,924757708
128,AFRICA,WORLD,2006,948156166
129,AFRICA,WORLD,2007,972265961
130,AFRICA,WORLD,2008,997144670
131,AFRICA,WORLD,2009,1022858654
132,AFRICA,WORLD,2010,1049446344
133,AFRICA,WORLD,2011,1076933813
134,AFRICA,WORLD,2012,1105285268
135,AFRICA,WORLD,2013,1134398192
136,AFRICA,WORLD,2014,1164129789
137,AFRICA,WORLD,2015,1194369908
138,AFRICA,WORLD,2016,1225080510
139,AFRICA,WORLD,2017,1256268025
140,AFRICA,WORLD,2018,1287920518
141,AFRICA,WORLD,2019,1320038716
142,AFRICA,WORLD,2020,1352622189
143,AFRICA,WORLD,2021,1385654615
144,AFRICA,WORLD,2022,1419122396
145,AFRICA,WORLD,2023,1453034271
146,AFRICA,WORLD,2024,1487406129
147,AFRICA,WORLD,2025,1522250093
148,AFRICA,WORLD,2026,1557562575
149,AFRICA,WORLD,2027,1593338261
150,AFRICA,WORLD,2028,1629585987
151,AFRICA,WORLD,2029,1666317064
152,AFRICA,WORLD,2030,1703537504
153,AFRICA,WORLD,2031,1741243659
154,AFRICA,WORLD,2032,1779425239
155,AFRICA,WORLD,2033,1818071729
